id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,days_since_last_review
8.72064E+17,Private Bedroom #5 in brand new home,325824177,Bader,,Gloucester-South Nepean,45.31124,-75.59443,Private room,61.0,30.0,1,2023-07-30,0.05,9.0,349.0,0,Licensed,750.0
8.73141E+17,4BD *NEW* Cozy Haven | 15MINS 2DT,475319012,Jasmin,,Bay,45.35509,-75.79257,Entire home/apt,198.0,2.0,72,2025-02-16,3.19,19.0,259.0,39,Licensed,183.0
8.73433E+17,Artistic stacked house,137013198,Farida,,Gloucester-Southgate,45.3688,-75.6368,Entire home/apt,200.0,30.0,0,,,4.0,364.0,0,Licensed,
8.73689E+17,Centretown Brand New Studio,510771474,Michel,,Somerset,45.4142264,-75.6987285,Entire home/apt,100.0,31.0,0,,,2.0,0.0,0,Exempt,
8.74871E+17,Room Number 4,325965874,Amir,,Knoxdale-Merivale,45.36400694,-75.71948804,Private room,51.0,2.0,38,2025-01-24,1.68,6.0,80.0,19,Licensed,206.0
8.74901E+17,Room Number 5,325965874,Amir,,Knoxdale-Merivale,45.36386,-75.7192976,Private room,42.0,2.0,22,2025-02-19,0.96,6.0,89.0,6,Licensed,180.0
8.74909E+17,Room Number 6,325965874,Amir,,Knoxdale-Merivale,45.36386,-75.7192976,Private room,43.0,2.0,40,2025-03-09,1.75,6.0,1.0,27,Licensed,162.0
8.75265E+17,Quiet loft in the city,245368896,Liz,,Rideau-Rockcliffe,45.42474,-75.66617,Entire home/apt,100.0,2.0,14,2024-06-24,0.7,1.0,0.0,5,Licensed,420.0
8.76758E+17,Stylish Flat in Centertown,27383041,Naveen,,Somerset,45.4116,-75.69095,Entire home/apt,84.0,30.0,8,2025-02-23,0.37,2.0,45.0,5,Licensed,176.0
8.77745E+17,Cozy 2 bedroom townhouse,23211413,Alexey,,Stittsville-Kanata West,45.2701,-75.88286,Entire home/apt,238.0,1.0,63,2025-02-16,2.79,2.0,359.0,30,Licensed,183.0
8.78164E+17,Cute room in a house,71581994,Carla,,Bay,45.34842,-75.83307,Private room,55.0,1.0,35,2025-01-24,1.91,1.0,174.0,22,Licensed,206.0
8.7817E+17,Superb Huge Downtown Ottawa + Sofabed Bedroom #6,138778788,John,,Somerset,45.4148,-75.69985,Private room,79.0,28.0,28,2024-12-29,1.24,5.0,92.0,4,Licensed,232.0
8.78201E+17,Just Like Home (private room),154600184,Cjay,,College,45.31442,-75.82703,Private room,70.0,30.0,1,2023-05-20,0.05,3.0,365.0,0,Exempt,821.0
8.80291E+17,Huge Room in a Beautiful House!,364541518,Amin,,Gloucester-Southgate,45.36206,-75.65124,Private room,35.0,1.0,22,2025-03-05,0.98,12.0,351.0,5,Licensed,166.0
8.80315E+17,"Big, Light and Beautiful Room!",364541518,Amin,,Gloucester-Southgate,45.3627494,-75.650429,Private room,70.0,1.0,18,2024-11-20,0.8,12.0,0.0,5,Licensed,271.0
8.80393E+17,Open Concept 3 Bedroom Cottage on the Rideau,180971904,Kelly,,Rideau-Goulbourn,45.04165,-75.69302,Entire home/apt,193.0,1.0,56,2025-02-18,2.77,1.0,0.0,30,Licensed,181.0
8.81431E+17,Beautiful apartment on the Canal,44043730,Oksana & Alex,,Capital,45.40774,-75.67968,Entire home/apt,168.0,3.0,37,2025-02-16,1.83,2.0,56.0,20,Licensed,183.0
8.81815E+17,Nice Room with Beautiful View.,364541518,Amin,,Gloucester-Southgate,45.3627494,-75.650429,Private room,70.0,1.0,26,2024-12-10,1.15,12.0,151.0,6,Licensed,251.0
8.81837E+17,Beautiful and Spacious Room.,364541518,Amin,,Gloucester-Southgate,45.3627494,-75.650429,Private room,65.0,1.0,17,2024-06-24,0.77,12.0,0.0,5,Licensed,420.0
8.8187E+17,Condo for rent 234 Rideau Ottawa,397432311,Anne Marie,,Rideau-Vanier,45.42721,-75.68722,Entire home/apt,140.0,31.0,0,,,1.0,90.0,0,Licensed,
8.81993E+17,Luxury Guest Suite - Ensuite Bathroom (R2),342139335,Victor,,Rideau-Goulbourn,45.23631,-75.74863,Private room,100.0,2.0,50,2025-02-19,2.48,6.0,66.0,16,Licensed,180.0
8.82515E+17,Charming 2 Bedroom in Barrhaven.,512795973,Rasheed,,Barrhaven,45.2542201,-75.7474493,Entire home/apt,120.0,31.0,7,2025-02-21,0.33,1.0,94.0,4,Licensed,178.0
8.82842E+17,Private room in westend townhome,276082277,Julia,,Knoxdale-Merivale,45.33086,-75.76073,Private room,25.0,30.0,1,2023-09-16,0.06,3.0,200.0,0,Licensed,702.0
8.83208E+17,Private room and private washroom in Kanata,277840745,Yao,,Kanata South,45.30068,-75.89916,Private room,60.0,1.0,90,2025-03-10,4.46,1.0,54.0,45,Licensed,161.0
8.83988E+17,Charming Room in a Townhouse Room # 4,189847984,Michelle,,Barrhaven,45.26275,-75.77605,Private room,25.0,30.0,26,2024-11-13,1.27,4.0,283.0,11,Licensed,278.0
